numero_economico,empresa
707,CE4-17M
708,CE4-17M
709,CE4-17M
710,CE4-17M
711,CE4-17M
712,CE4-17M
713,CE4-17M
714,CE4-17M
715,CE4-17M
716,CE4-17M
717,CE4-17M
718,CE4-17M
719,CE4-17M
720,CE4-17M
721,CE4-17M
722,CE4-17M
723,CE4-17M
724,CE4-17M
725,CE4-17M
726,CE4-17M
727,CE4-17M
728,CE4-17M
729,CE4-17M
730,CE4-17M
731,CE4-17M
732,CE4-17M
733,CE4-17M
734,CE4-17M
735,CE4-17M
736,CE4-17M
751,CURVIX
752,CURVIX
753,CURVIX
754,CURVIX
755,CURVIX
756,CURVIX
757,CURVIX
758,CURVIX
759,CURVIX
760,CURVIX
761,CURVIX
762,CURVIX
763,CURVIX
764,CURVIX
765,CURVIX
766,CURVIX
767,CURVIX
768,CURVIX
769,CURVIX
770,CURVIX
771,CURVIX
772,CURVIX
773,CURVIX
774,CURVIX
775,CURVIX
776,CURVIX
777,CURVIX
778,CURVIX
781,CARSA
782,CARSA
783,CARSA
784,CARSA
785,CARSA
786,CARSA
787,CARSA
788,CARSA
789,CARSA
790,CARSA
791,CARSA
792,CARSA
793,CARSA
794,CARSA
795,CARSA
796,CARSA
797,CARSA
798,CARSA
799,CARSA
800,CARSA
801,OL7
802,OL7
803,OL7
804,OL7
805,OL7
806,OL7
807,OL7
808,OL7
809,OL7
810,OL7
811,OL7
812,OL7
813,OL7
814,OL7
815,OL7
816,OL7
817,OL7
818,OL7
819,OL7
820,OL7
821,OL7
822,OL7
823,OL7
824,OL7
825,OL7
826,OL7
827,OL7
828,OL7
829,OL7
830,OL7
831,OL7
832,OL7
833,OL7
834,OL7
835,OL7
836,OL7
837,OL7
838,OL7
839,OL7
840,OL7
841,OL7
842,OL7
843,OL7
844,OL7
845,OL7
846,OL7
847,OL7
848,OL7
901,SKYBUS
902,SKYBUS
903,SKYBUS
904,SKYBUS
905,SKYBUS
906,SKYBUS
907,SKYBUS
908,SKYBUS
909,SKYBUS
910,SKYBUS
911,SKYBUS
912,SKYBUS
913,SKYBUS
914,SKYBUS
915,SKYBUS
916,SKYBUS
917,SKYBUS
918,SKYBUS
919,SKYBUS
920,SKYBUS
921,SKYBUS
922,SKYBUS
923,SKYBUS
924,SKYBUS
925,SKYBUS
926,SKYBUS
927,SKYBUS
928,SKYBUS
929,SKYBUS
930,SKYBUS
931,SKYBUS
932,SKYBUS
933,SKYBUS
934,SKYBUS
935,SKYBUS
936,SKYBUS
937,SKYBUS
938,SKYBUS
939,SKYBUS
940,SKYBUS
941,SKYBUS
942,SKYBUS
1015,RTP
1018,CISA
1019,CISA
1020,CISA
1021,CISA
1022,CISA
1023,CISA
1024,CISA
1025,CISA
1026,CISA
1027,CISA
1028,CISA
1029,CISA
1030,CISA
1031,CISA
1032,CISA
1033,CISA
1034,CISA
1035,CISA
1036,CISA
1037,CISA
1038,CISA
1039,CISA
1040,CISA
1041,CISA
1042,CISA
1043,CISA
1044,CISA
1045,CISA
1046,CISA
1047,CISA
1048,CISA
1049,CISA
1050,CISA
1051,VYCSA
1052,VYCSA
1053,VYCSA
1054,VYCSA
1055,VYCSA
1056,VYCSA
1057,VYCSA
1058,VYCSA
1059,VYCSA
1060,VYCSA
1061,VYCSA
1062,VYCSA
1063,VYCSA
1064,VYCSA
1065,VYCSA
1066,VYCSA
1067,VYCSA
1068,VYCSA
1069,VYCSA
1070,VYCSA
1071,VYCSA
1072,VYCSA
1073,VYCSA
1074,VYCSA
1075,VYCSA
1076,VYCSA
1077,VYCSA
1078,VYCSA
1081,RECSA
1082,RECSA
1083,RECSA
1084,RECSA
1085,RECSA
1086,RECSA
1087,RECSA
1088,RECSA
1089,RECSA
1090,RECSA
1091,RECSA
1092,RECSA
1093,RECSA
1094,RECSA
1095,RECSA
1096,RECSA
1097,RECSA
1098,RECSA
1099,RECSA
1101,CISA
1102,CISA
1103,CISA
1104,CISA
1105,CISA
1106,CISA
1107,CISA
1108,CISA
1109,CISA
1110,CISA
1111,CISA
1112,CISA
1113,CISA
1114,CISA
1115,CISA
1116,CISA
1117,CISA
1118,CISA
1119,CISA
1120,CISA
1121,CISA
1122,CISA
1123,CISA
1124,CISA
1125,CISA
1126,CISA
1127,CISA
1128,CISA
1129,CISA
1130,CISA
1131,CISA
1132,CISA
1133,CISA
1134,CISA
1135,CISA
1136,CISA
1137,CISA
1138,CISA
1139,CISA
1140,CISA
1141,CISA
1142,CISA
1143,CISA
1144,CISA
1145,CISA
1146,CISA
1147,CISA
1201,RTP
1202,RTP
1203,RTP
1204,RTP
1205,RTP
1206,RTP
1207,RTP
1208,RTP
1209,RTP
1210,RTP
1251,RECSA
1252,RECSA
1253,RECSA
1254,RECSA
1255,RECSA
1256,RECSA
1257,RECSA
1258,RECSA
1259,RECSA
1260,RECSA
1261,RECSA
1262,RECSA
1263,RECSA
1264,RECSA
1265,RECSA
1266,RECSA
1267,RECSA
1268,RECSA
1269,RECSA
1301,CE4-17M
1302,CE4-17M
1303,CE4-17M
1304,CE4-17M
1305,CE4-17M
1306,CE4-17M
1307,CE4-17M
1308,CE4-17M
1309,CE4-17M
1310,CE4-17M
1311,CE4-17M
1312,CE4-17M
1313,CE4-17M
1314,CE4-17M
2301,CE4-17M
2302,CE4-17M
2303,CE4-17M
2304,CE4-17M
2305,CE4-17M
2306,CE4-17M
2307,CE4-17M
2308,CE4-17M
2309,CE4-17M
2310,CE4-17M
2311,CE4-17M
2312,CE4-17M
2313,CE4-17M
2314,CE4-17M
2315,CE4-17M
2316,CE4-17M
2317,CE4-17M
2318,CE4-17M
2319,CE4-17M
2320,CE4-17M
2321,CE4-17M
2322,CE4-17M
2323,CE4-17M
2324,CE4-17M
2325,CE4-17M
2501,COPATTSA
2502,COPATTSA
2503,COPATTSA
2504,COPATTSA
2505,COPATTSA
2506,COPATTSA
2507,COPATTSA
2508,COPATTSA
2509,COPATTSA
2510,COPATTSA
2511,COPATTSA
2512,COPATTSA
2513,COPATTSA
2514,COPATTSA
2515,COPATTSA
2600,CORENSA
2601,CORENSA
2602,CORENSA
2603,CORENSA
2604,CORENSA
2605,CORENSA
2606,CORENSA
2607,CORENSA
2608,CORENSA
2609,CORENSA
2610,CORENSA
2611,CORENSA
2612,CORENSA
2613,CORENSA
2614,CORENSA
2615,CORENSA
2616,CORENSA
2617,CORENSA
2618,CORENSA
2619,CORENSA
2620,CORENSA
2621,CORENSA
2622,CORENSA
2623,CORENSA
2624,CORENSA
2625,CORENSA
2626,CORENSA
2627,CORENSA
2628,CORENSA
2629,CORENSA
2630,CORENSA
2631,CORENSA
2632,CORENSA
2633,CORENSA
2634,CORENSA
2635,CORENSA
2636,CORENSA
2637,CORENSA
2638,CORENSA
2639,CORENSA
2640,CORENSA
2641,CORENSA
2642,CORENSA
2643,CORENSA
2644,CORENSA
2645,CORENSA
2646,CORENSA
2647,CORENSA
2648,CORENSA
2649,CORENSA
2650,CORENSA
2651,CORENSA
2652,CORENSA
2653,CORENSA
2654,CORENSA
2655,CORENSA
2656,CORENSA
2657,CORENSA
2658,CORENSA
2659,CORENSA
2660,CORENSA
2661,CORENSA
2662,CORENSA
2663,CORENSA
2664,CORENSA
2665,CORENSA
2666,CORENSA
2667,CORENSA
2668,CORENSA
2669,CORENSA
2670,CORENSA
2671,CORENSA
2672,CORENSA
2673,CORENSA
2674,CORENSA
2675,CORENSA
2676,CORENSA
2677,CORENSA
2678,CORENSA
2679,CORENSA
2680,CORENSA
2681,CORENSA
2682,CORENSA
2683,CORENSA
2684,CORENSA
2685,CORENSA
2686,CORENSA
2687,CORENSA
2688,CORENSA
2689,CORENSA
2690,CORENSA
2691,CORENSA
2692,CORENSA
2693,CORENSA
2694,CORENSA
2695,CORENSA
2696,CORENSA
2697,CORENSA
2698,CORENSA
2699,CORENSA
3301,TSAJJ
3302,TSAJJ
3303,TSAJJ
3304,TSAJJ
3305,TSAJJ
3306,TSAJJ
3307,TSAJJ
3308,TSAJJ
3309,TSAJJ
3310,TSAJJ
3311,TSAJJ
3312,TSAJJ
3313,TSAJJ
3314,TSAJJ
3315,TSAJJ
3316,TSAJJ
3317,TSAJJ
3318,TSAJJ
3319,TSAJJ
3320,TSAJJ
3321,TSAJJ
3322,TSAJJ
3323,TSAJJ
3324,TSAJJ
3325,TSAJJ
3326,TSAJJ
3327,TSAJJ
3328,TSAJJ
3329,TSAJJ
3330,TSAJJ
3331,TSAJJ
3332,TSAJJ
3333,TSAJJ
3334,TSAJJ
3335,TSAJJ
3336,TSAJJ
3337,TSAJJ
3338,TSAJJ
3339,TSAJJ
3340,TSAJJ
3341,TSAJJ
3342,TSAJJ
3343,TSAJJ
3344,TSAJJ
3345,TSAJJ
3346,TSAJJ
5001,CCASA
5002,CCASA
5003,CCASA
5004,CCASA
5005,CCASA
5006,CCASA
5007,CCASA
5008,CCASA
5009,CCASA
5010,CCASA
5011,CCASA
5012,CCASA
5013,CCASA
5014,CCASA
5015,CCASA
5016,CCASA
5017,CCASA
5018,CCASA
5019,CCASA
5020,CCASA
5021,CCASA
5022,CCASA
5023,CCASA
5024,CCASA
5025,CCASA
5026,CCASA
5027,CCASA
5028,CCASA
5029,CCASA
5030,CCASA
5031,CCASA
5032,CCASA
5033,CCASA
5034,CCASA
5035,CCASA
5036,CCASA
5037,CCASA
5038,CCASA
5039,CCASA
5040,CCASA
5041,CCASA
5042,CCASA
5043,CCASA
5044,CCASA
5045,CCASA
5046,CCASA
5047,CCASA
5048,CCASA
5049,CCASA
5050,CCASA
5051,CCASA
5052,CCASA
5053,CCASA
5054,CCASA
5055,CCASA
5056,CCASA
5057,CCASA
5058,CCASA
5059,CCASA
5060,CCASA
5061,CCASA
5062,CCASA
5063,CCASA
5064,CCASA
5065,CCASA
5066,CCASA
5067,CCASA
5068,CCASA
5069,CCASA
5070,CCASA
5071,CCASA
5072,CCASA
9401,MIVSA
9402,MIVSA
9403,MIVSA
9404,MIVSA
9405,MIVSA
9406,MIVSA
9407,MIVSA
9408,MIVSA
9409,MIVSA
9410,MIVSA
9411,MIVSA
9412,MIVSA
9413,MIVSA
9414,MIVSA
9415,MIVSA
9416,MIVSA
9417,MIVSA
9418,MIVSA
9419,MIVSA
9420,MIVSA
9421,MIVSA
9422,MIVSA
9423,MIVSA
9424,MIVSA
9425,MIVSA
9426,MIVSA
9427,MIVSA
9428,MIVSA
9429,MIVSA
9430,MIVSA
9431,MIVSA
9432,MIVSA
9433,MIVSA
9434,MIVSA
9435,MIVSA
9436,MIVSA
9437,MIVSA
9438,MIVSA
9439,MIVSA
9440,MIVSA
9441,MIVSA
9442,MIVSA
9443,MIVSA
9444,MIVSA
9445,MIVSA
9446,MIVSA
9447,MIVSA
9448,MIVSA
9449,MIVSA
9450,MIVSA
9451,MIVSA
9452,MIVSA
9453,MIVSA
9454,MIVSA
9455,MIVSA
9456,MIVSA
9457,MIVSA
9458,MIVSA
9459,MIVSA
9460,MIVSA
9519,CE4-17M
9521,CCA
9522,CCA
9523,CE4-17M
9525,CTT
9601,CITEMSA
9602,CITEMSA
9603,CITEMSA
9604,CITEMSA
9605,CITEMSA
9606,CITEMSA
9607,CITEMSA
